Date,Region,Product,Category,Quantity,Price,Sales Amount
2024-03-25,East,Jacket,Clothing,3,25396,76188
2024-01-23,West,Jacket,Clothing,9,4094,36846
2024-05-01,North,Tablet,Electronics,8,8355,66840
2024-03-22,East,Jacket,Clothing,3,3896,11688
2024-03-18,North,Jacket,Clothing,9,34725,312525
2024-01-05,East,Phone,Electronics,3,31557,94671
2024-03-24,West,Chair,Furniture,3,18219,54657
2024-05-01,North,Laptop,Electronics,5,14462,72310
2024-02-05,East,Jacket,Clothing,3,15825,47475
2024-06-22,South,Laptop,Electronics,7,48492,339444
2024-05-10,West,Pants,Clothing,5,32264,161320
2024-06-28,North,Couch,Furniture,8,925,7400
2024-06-26,North,Shirt,Clothing,2,37491,74982
2024-02-01,East,Pants,Clothing,4,47097,188388
2024-01-27,East,Chair,Furniture,10,41587,415870
2024-01-08,East,Pants,Clothing,1,38603,38603
2024-03-24,South,Laptop,Electronics,8,36021,288168
2024-04-19,South,Desk,Furniture,2,11999,23998
2024-03-07,East,Tablet,Electronics,8,37735,301880
2024-06-28,South,Laptop,Electronics,4,21205,84820
2024-02-14,North,Tablet,Electronics,9,43174,388566
2024-03-02,South,Shirt,Clothing,4,16379,65516
2024-06-05,North,Pants,Clothing,5,7964,39820
2024-02-24,South,Chair,Furniture,5,19434,97170
2024-02-09,East,Chair,Furniture,9,4002,36018
2024-04-20,East,Phone,Electronics,9,44011,396099
2024-06-09,West,Couch,Furniture,1,26924,26924
2024-01-03,West,Couch,Furniture,10,39605,396050
2024-04-16,East,Pants,Clothing,4,35284,141136
2024-05-18,East,Couch,Furniture,6,1748,10488
2024-04-04,East,Couch,Furniture,9,10951,98559
2024-05-20,North,Jacket,Clothing,7,7327,51289
2024-03-24,North,Jacket,Clothing,1,4464,4464
2024-03-08,East,Tablet,Electronics,10,23041,230410
2024-03-23,North,Laptop,Electronics,7,1630,11410
2024-03-23,North,Shirt,Clothing,2,37602,75204
2024-03-22,East,Phone,Electronics,1,31650,31650
2024-03-04,West,Shirt,Clothing,8,49315,394520
2024-05-27,North,Pants,Clothing,3,19043,57129
2024-05-23,East,Couch,Furniture,7,44317,310219
2024-04-08,East,Chair,Furniture,6,38253,229518
2024-03-09,South,Phone,Electronics,9,27987,251883
2024-04-17,West,Pants,Clothing,10,35534,355340
2024-04-26,North,Phone,Electronics,4,26102,104408
2024-01-03,South,Pants,Clothing,10,46069,460690
2024-04-29,East,Phone,Electronics,9,27842,250578
2024-04-10,East,Chair,Furniture,4,17011,68044
2024-04-16,South,Jacket,Clothing,6,729,4374
2024-01-14,East,Pants,Clothing,9,49457,445113
2024-06-26,West,Phone,Electronics,9,34121,307089
2024-06-29,West,Tablet,Electronics,4,35975,143900
2024-06-07,South,Couch,Furniture,3,20824,62472
2024-02-11,East,Chair,Furniture,8,5860,46880
2024-02-12,East,Shirt,Clothing,10,13284,132840
2024-02-24,North,Phone,Electronics,1,11890,11890
2024-01-19,North,Chair,Furniture,9,7303,65727
2024-04-01,North,Jacket,Clothing,9,23635,212715
2024-04-28,North,Phone,Electronics,7,36683,256781
2024-01-26,North,Laptop,Electronics,7,39947,279629
2024-04-12,North,Jacket,Clothing,3,44315,132945
2024-01-10,North,Laptop,Electronics,8,40078,320624
2024-06-28,South,Chair,Furniture,9,34826,313434
2024-06-28,South,Chair,Furniture,10,30434,304340
2024-02-24,East,Jacket,Clothing,9,29354,264186
2024-05-21,North,Couch,Furniture,6,14676,88056
2024-04-17,East,Tablet,Electronics,8,38137,305096
2024-06-25,East,Desk,Furniture,8,14702,117616
2024-05-30,East,Laptop,Electronics,3,2213,6639
2024-01-21,East,Tablet,Electronics,9,6901,62109
2024-04-01,East,Tablet,Electronics,2,42751,85502
2024-04-27,North,Couch,Furniture,10,17484,174840
2024-05-01,East,Desk,Furniture,6,49086,294516
2024-05-27,North,Shirt,Clothing,2,11164,22328
2024-05-17,North,Pants,Clothing,4,16244,64976
2024-03-12,West,Tablet,Electronics,5,21267,106335
2024-02-24,West,Shirt,Clothing,7,40152,281064
2024-03-04,North,Couch,Furniture,7,11062,77434
2024-05-08,South,Desk,Furniture,7,5383,37681
2024-06-23,South,Pants,Clothing,1,3196,3196
2024-02-27,North,Couch,Furniture,5,7121,35605
2024-03-16,North,Chair,Furniture,8,25050,200400
2024-04-05,West,Couch,Furniture,8,45518,364144
2024-01-09,West,Pants,Clothing,3,35365,106095
2024-02-10,East,Chair,Furniture,2,16818,33636
2024-06-05,North,Chair,Furniture,2,44087,88174
2024-05-07,North,Couch,Furniture,4,28580,114320
2024-01-29,South,Shirt,Clothing,10,34954,349540
2024-06-13,North,Tablet,Electronics,5,15299,76495
2024-06-25,East,Chair,Furniture,3,13301,39903
2024-03-16,East,Jacket,Clothing,2,37807,75614
2024-03-16,East,Chair,Furniture,9,36853,331677
2024-03-09,West,Couch,Furniture,5,16844,84220
2024-03-12,North,Shirt,Clothing,4,1428,5712
2024-01-22,South,Chair,Furniture,10,25088,250880
2024-01-20,South,Jacket,Clothing,9,34058,306522
2024-04-01,North,Jacket,Clothing,7,15422,107954
2024-01-01,West,Desk,Furniture,6,11400,68400
2024-03-01,South,Jacket,Clothing,4,14434,57736
